鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中西區,房地(土地+建物)+車位,臺南市中西區金華新路和大涼路交叉口,12.73,其他,,,1150621,土地3建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.36,3,2,2,有,無,21650000,135089,坡道平面,24.79,1850000,,RPQNMLLJPHLGFAD67CB,百慶擎川,A棟A3-15F號,
中西區,房地(土地+建物)+車位,臺南市中西區金華新路和大涼路交叉口,14.66,其他,,,1150623,土地3建物1車位1,十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.01,3,2,2,有,無,24700000,132969,坡道平面,24.79,1800000,,RPRNMLLJPHLGFAD77CB,百慶擎川,A棟A6-11F號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,15.6,商,,,1150624,土地2建物1車位2,九層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,215.85,4,2,2,有,無,33800000,176741,坡道平面,52.9,5000000,,RPPNMLLJPHLGFCD77CB,浩瀚無極,B棟B1號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.73,住,,,1150625,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.39,2,2,1,有,無,10150000,105296,坡道機械,7.19,1600000,,RPPNMLMJPHLGFBD77CB,?讀耶魯,B棟10號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,8.23,住,,,1150628,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.9,2,2,1,有,無,11400000,108558,坡道平面,19.31,2000000,,RPQNMLMJPHLGFBD87CB,?讀耶魯,B棟03號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.73,住,,,1150627,土地1建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.39,2,2,1,有,無,9400000,100985,坡道機械,7.19,1200000,,RPRNMLMJPHLGFBD97CB,?讀耶魯,C棟10號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,8.37,住,,,1150629,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.87,2,2,1,有,無,12550000,119128,坡道平面,19.31,2000000,露臺戶,RPSNMLMJPHLGFBD08CB,?讀耶魯,A棟06號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,8.09,住,,,1150630,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.34,2,2,1,有,無,10100000,104521,坡道機械,7.19,1200000,,RPTNMLMJPHLGFBD18CB,?讀耶魯,C棟03號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,26.19,住,,,1150622,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.85,3,2,2,有,無,13180000,96503,坡道平面,29.3,1450000,,RPVNMLMJPHLGFBD38CB,佳展安和,C5棟7號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,24.65,住,,,1150629,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.5,3,2,2,有,無,12690000,97548,坡道平面,29.3,1550000,,RPPNMLNJPHLGFBD87CB,佳展安和,A1棟6號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,26.19,住,,,1150629,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.17,3,2,2,有,無,14830000,96488,坡道平面,58.6,3100000,,RPRNMLNJPHLGFBD08CB,佳展安和,C1棟9號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,28.14,住,,,1150630,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.67,3,2,2,有,無,15650000,108047,坡道平面,28.41,1900000,,RPPNMLNJPHLGFHD48CB,佳鋐科匯,B5棟0號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,25.07,住,,,1150622,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.48,2,2,2,有,無,10360000,99966,坡道平面,36.85,1500000,,RPQNMLOJPHLGFHD68CB,白樓2璞域,壹棟C號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,26.25,住,,,1150627,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.63,2,2,2,有,無,10780000,98405,坡道平面,36.85,1650000,,RPRNMLOJPHLGFHD78CB,白樓2璞域,壹棟D號,
安定區,房地(土地+建物)+車位,臺南市安定區新吉新吉99-2號旁,32.09,,鄉村區,乙種建築用地,1150621,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.66,3,2,2,有,無,12180000,88425,一樓平面,13.88,1500000,,RPSNMLOJPHLGFHD88CB,南科心集,A棟8號,
大內區,房地(土地+建物)+車位,臺南市大內區石子瀨125號對面,82.33,住,,,1150625,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,189.84,4,2,5,有,無,11580000,60999,一樓平面,0.0,0,,RPSNMLQJPHLGFFD88CB,萊茵河第2期,B2棟0號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,24.44,商,,,1150623,土地2建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.1,3,2,3,有,無,39430000,203032,坡道平面,25.73,2200000,,RPPNMLRJPHLGFCD38CB,國城?實,E棟1號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,24.44,商,,,1150623,土地2建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.1,3,2,3,有,無,39990000,206086,坡道平面,25.73,2200000,,RPQNMLRJPHLGFCD48CB,國城?實,E棟1號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,8.81,商,,,1150623,土地2建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.57,2,2,1,有,無,14950000,191502,坡道平面,25.73,2150000,,RPRNMLRJPHLGFCD58CB,國城?實,E棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,8.81,商,,,1150623,土地2建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.57,2,2,1,有,無,15310000,196888,坡道平面,25.73,2150000,,RPSNMLRJPHLGFCD68CB,國城?實,E棟3號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1150629,土地2建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,24500000,181611,坡道平面,25.73,2200000,,RPTNMLRJPHLGFCD78CB,國城?實,K棟6號,
六甲區,房地(土地+建物)+車位,臺南市六甲區中正路及仁愛街交叉口,32.23,住,,,1150625,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.36,3,2,2,有,無,8030000,71820,坡道平面,19.35,1350000,,RPPNMLRJPHLGFFD68CB,好事HOUSE6,A1號,
安南區,房地(土地+建物)+車位,臺南市安南區安佃街與安佃九街口,25.56,住,,,1150628,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.46,2,2,2,有,無,12950000,92806,坡道平面,24.7,1650000,,RPQNMLSJPHLGFBD48CB,希望翼,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區安佃街與安佃九街口,19.01,住,,,1150621,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.16,2,1,2,有,無,10180000,94905,坡道平面,24.7,1500000,,RPRNMLSJPHLGFBD58CB,希望翼,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區永二街,19.54,住,,,1150623,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.79,2,2,2,有,無,11060000,105631,坡道平面,29.18,1700000,,RPPNMLSJPHLGFKD66CB,佳晟家康,A7棟8F號,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段及三興街交叉口,28.81,住,,,1150622,土地2建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.97,3,2,2,有,無,15610000,84099,坡道平面,51.46,2700000,本戶共買兩個車位車位合併計價,RPPNMLKKPHLGFDD87CB,佳順 ? 大悅,B5棟1號,
